old_url,new_url,title,migrated_at
https://playbook.dxw.com/tech/promotion-process/,https://dxw.getoutline.com/doc/technology-team-promotion-process-Flc9D7tuhw,"Technology team promotion process",2025-10-16 11:46:24
https://playbook.dxw.com/tech/support-and-on-call/,https://dxw.getoutline.com/doc/support-and-on-call-E71rT0Org4,"Support and on call",2025-10-16 11:46:24
https://playbook.dxw.com/tech/getting-a-project-ready-for-support/,https://dxw.getoutline.com/doc/getting-a-project-ready-for-support-nskwLqMqMh,"Getting a project ready for support",2025-10-16 11:46:23
https://playbook.dxw.com/tech/how-we-do-development/,https://dxw.getoutline.com/doc/how-we-do-development-rpLzD3BbdH,"How we do development",2025-10-16 11:46:23
https://playbook.dxw.com/tech/junior-developer-development-plan/,https://dxw.getoutline.com/doc/junior-developer-development-plan-gU1igiyCWg,"Junior developer development plan",2025-10-16 11:46:23
https://playbook.dxw.com/tech/data-standards/,https://dxw.getoutline.com/doc/data-standards-at-dxw-brNkDHuwvA,"Data standards at dxw",2025-10-16 11:46:22
https://playbook.dxw.com/tech/development-and-technical-operations-team-principles/,https://dxw.getoutline.com/doc/development-and-technical-operations-team-principles-NKhPHB5v2N,"Development and technical operations team principles",2025-10-16 11:46:22
https://playbook.dxw.com/staff-handbook/talking-about-what-we-do/writing-case-studies/,https://dxw.getoutline.com/doc/writing-case-studies-wvU4uppG3E,"Writing case studies",2025-10-16 11:46:21
https://playbook.dxw.com/tech/,https://dxw.getoutline.com/doc/technology-at-dxw-Jjj4f2lBto,"Technology at dxw",2025-10-16 11:46:21
https://playbook.dxw.com/tech/being-a-tech-lead-at-dxw/,https://dxw.getoutline.com/doc/being-a-tech-lead-at-dxw-fTL6ZGQLhu,"Being a tech lead at dxw",2025-10-16 11:46:21
https://playbook.dxw.com/staff-handbook/talking-about-what-we-do/our-blog/,https://dxw.getoutline.com/doc/our-blog-8seSx2o9HZ,"Our blog",2025-10-16 11:46:20
https://playbook.dxw.com/staff-handbook/talking-about-what-we-do/social-media-platforms-we-use/,https://dxw.getoutline.com/doc/social-media-platforms-we-use-XXz5y90J11,"Social media platforms we use",2025-10-16 11:46:20
https://playbook.dxw.com/staff-handbook/talking-about-what-we-do/tone-of-voice/,https://dxw.getoutline.com/doc/dxws-tone-of-voice-sJJyIHINPp,"dxw's tone of voice",2025-10-16 11:46:20
https://playbook.dxw.com/staff-handbook/talking-about-what-we-do/attending-hosting-and-speaking-at-events/,https://dxw.getoutline.com/doc/attending-hosting-and-speaking-at-events-4kMftDiEI7,"Attending, hosting and speaking at events",2025-10-16 11:46:19
https://playbook.dxw.com/staff-handbook/talking-about-what-we-do/inclusive-language-guides/,https://dxw.getoutline.com/doc/inclusive-language-guides-OWv4wIUNln,"Inclusive language guides",2025-10-16 11:46:19
https://playbook.dxw.com/staff-handbook/talking-about-what-we-do/internal-comms/,https://dxw.getoutline.com/doc/internal-comms-HgBVbyZiFd,"Internal comms",2025-10-16 11:46:19
https://playbook.dxw.com/staff-handbook/supporting-wellbeing/where-to-get-external-support/,https://dxw.getoutline.com/doc/where-to-get-external-support-XcpNgI2ssQ,"Where to get external support",2025-10-16 11:46:18
https://playbook.dxw.com/staff-handbook/talking-about-what-we-do/,https://dxw.getoutline.com/doc/talking-about-what-we-do-SiJoYOdHgI,"Talking about what we do",2025-10-16 11:46:18
https://playbook.dxw.com/staff-handbook/policies-and-procedures/parental-leave/unpaid-parental-leave/,https://dxw.getoutline.com/doc/unpaid-parental-leave-wr0lKm8w8G,"Unpaid parental leave",2025-10-16 11:46:17
https://playbook.dxw.com/staff-handbook/supporting-wellbeing/,https://dxw.getoutline.com/doc/supporting-wellbeing-8USi647tdY,"Supporting wellbeing",2025-10-16 11:46:17
https://playbook.dxw.com/staff-handbook/supporting-wellbeing/getting-support-internally/,https://dxw.getoutline.com/doc/getting-support-internally-2FecayMvRL,"Getting support internally",2025-10-16 11:46:17
https://playbook.dxw.com/staff-handbook/policies-and-procedures/parental-leave/shared-parental-leave/,https://dxw.getoutline.com/doc/shared-parental-leave-LMSJTg0vuC,"Shared parental leave",2025-10-16 11:45:26
https://playbook.dxw.com/staff-handbook/policies-and-procedures/parental-leave/keeping-in-touch-days/,https://dxw.getoutline.com/doc/keeping-in-touch-kit-days-QyaXRny5Sd,"Keeping in touch (KIT) days",2025-10-16 11:45:25
https://playbook.dxw.com/staff-handbook/policies-and-procedures/parental-leave/neonatal-care-leave-and-pay/,https://dxw.getoutline.com/doc/neonatal-care-leave-and-pay-mkMbL7IvZy,"Neonatal care leave and pay",2025-10-16 11:45:25
https://playbook.dxw.com/staff-handbook/policies-and-procedures/parental-leave/returning-to-work/,https://dxw.getoutline.com/doc/returning-to-work-RB9dZ0PXUR,"Returning to work",2025-10-16 11:45:25
https://playbook.dxw.com/staff-handbook/policies-and-procedures/parental-leave/if-you-are-pregnant/,https://dxw.getoutline.com/doc/if-you-are-pregnant-3y6R3WFVS3,"If you are pregnant",2025-10-16 11:45:24
https://playbook.dxw.com/staff-handbook/policies-and-procedures/parental-leave/if-you-are-the-secondary-carer/,https://dxw.getoutline.com/doc/if-you-are-the-secondary-carer-VpRnSMNb62,"If you are the secondary carer",2025-10-16 11:45:24
https://playbook.dxw.com/staff-handbook/policies-and-procedures/parental-leave/if-you-are-adopting-or-having-a-baby-through-surrogacy/,https://dxw.getoutline.com/doc/if-you-are-adopting-or-having-a-baby-through-surrogacy-DEe0tZwXlY,"If you are adopting or having a baby through surrogacy",2025-10-16 11:45:23
https://playbook.dxw.com/staff-handbook/policies-and-procedures/sickness-policy/,https://dxw.getoutline.com/doc/sickness-te2pD7NDwr,"Sickness",2025-10-16 11:45:22
https://playbook.dxw.com/staff-handbook/policies-and-procedures/travel-and-accommodation-policy/,https://dxw.getoutline.com/doc/travel-and-accommodation-policy-aFHyl6k8Qr,"Travel and accommodation policy",2025-10-16 11:45:22
https://playbook.dxw.com/staff-handbook/policies-and-procedures/working-from-overseas-policy/,https://dxw.getoutline.com/doc/working-from-overseas-policy-L7FXL0Foem,"Working from overseas policy",2025-10-16 11:45:22
https://playbook.dxw.com/staff-handbook/policies-and-procedures/promotion-policy-and-process/,https://dxw.getoutline.com/doc/promotion-policy-and-process-F6C3zotsku,"Promotion policy and process",2025-10-16 11:45:21
https://playbook.dxw.com/staff-handbook/policies-and-procedures/redundancy-policy/,https://dxw.getoutline.com/doc/redundancy-procedure-S5VEVFRUeE,"Redundancy procedure",2025-10-16 11:45:21
https://playbook.dxw.com/staff-handbook/policies-and-procedures/reward-philosophy/,https://dxw.getoutline.com/doc/reward-philosophy-jUdLPKwO4a,"Reward philosophy",2025-10-16 11:45:21
https://playbook.dxw.com/staff-handbook/policies-and-procedures/inclusion-diversity-equality/,https://dxw.getoutline.com/doc/inclusion-diversity-and-equal-opportunities-policy-eqzl5rKfPC,"Inclusion, diversity and equal opportunities policy",2025-10-16 11:45:20
https://playbook.dxw.com/staff-handbook/policies-and-procedures/parental-leave/,https://dxw.getoutline.com/doc/parental-leave-policy-Qek7CFrNfe,"Parental leave policy",2025-10-16 11:45:20
https://playbook.dxw.com/staff-handbook/policies-and-procedures/disciplinary-procedure/,https://dxw.getoutline.com/doc/disciplinary-procedure-q9ntfLOexP,"Disciplinary procedure",2025-10-16 11:45:19
https://playbook.dxw.com/staff-handbook/policies-and-procedures/grievances/,https://dxw.getoutline.com/doc/grievance-procedure-je6o3unmIy,"Grievance procedure",2025-10-16 11:45:19
https://playbook.dxw.com/staff-handbook/policies-and-procedures/,https://dxw.getoutline.com/doc/policies-and-procedures-Zrd65vsO39,"Policies and procedures",2025-10-16 11:45:18
https://playbook.dxw.com/staff-handbook/policies-and-procedures/bullying-and-harassment-policy/,https://dxw.getoutline.com/doc/bullying-and-harassment-policy-WNS08lIHfJ,"Bullying and harassment policy",2025-10-16 11:45:18
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/benefits/life-assurance/,https://dxw.getoutline.com/doc/life-assurance-Evqa4oJUev,"Life assurance",2025-10-16 11:45:17
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/benefits/train-season-ticket-loan/,https://dxw.getoutline.com/doc/train-season-ticket-loan-t0pCdC7cnC,"Train season ticket loan",2025-10-16 11:45:17
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/benefits/workplace-nursery/,https://dxw.getoutline.com/doc/workplace-nursery-qfOBLU13ky,"Workplace nursery",2025-10-16 11:45:17
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/benefits/employee-assistance-programme/,https://dxw.getoutline.com/doc/employee-assistance-programme-FtusB7ragZ,"Employee assistance programme",2025-10-16 11:45:16
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/benefits/flexible-holiday-scheme/,https://dxw.getoutline.com/doc/flexible-holiday-scheme-hqKZeUc6sD,"Flexible holiday scheme",2025-10-16 11:45:16
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/benefits/home-office-equipment/,https://dxw.getoutline.com/doc/home-office-equipment-tpLDPTqAcS,"Home office equipment",2025-10-16 11:45:16
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/benefits/electric-vehicle-scheme/,https://dxw.getoutline.com/doc/electric-vehicle-scheme-CaFj2QQcWS,"Electric vehicle scheme",2025-10-16 11:44:24
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/pension/,https://dxw.getoutline.com/doc/pension-EWWUhMStqY,"Pension",2025-10-16 11:44:23
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/benefits/cash-plan/,https://dxw.getoutline.com/doc/cash-plan-mqs7sTIHGq,"Cash plan",2025-10-16 11:44:23
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/benefits/cycle-to-work-scheme/,https://dxw.getoutline.com/doc/cycle-to-work-scheme-meb0YySEdZ,"Cycle to work scheme",2025-10-16 11:44:23
https://playbook.dxw.com/staff-handbook/line-management/learning-and-development-for-team-members/,https://dxw.getoutline.com/doc/guides-for-line-managers-x7ZCyoSXev,"Guides for line managers",2025-10-16 11:44:22
https://playbook.dxw.com/staff-handbook/pay-pension-and-benefits/,https://dxw.getoutline.com/doc/pay-pension-and-benefits-ma6rTyh7P7,"Pay, pension and benefits",2025-10-16 11:44:22
